gen,mod,student,instructor,word_count,mean_word_length,different_words,valid_sentences_count,mean_words_per_sentence,mean_different_words_per_bucket
gen3,mod1_pro,garciame,nss,7639,4.986123838198717,1651,346,21.916184971098264,370.0
gen2,mod1_pro,roblesjc,rias,6945,4.707847372210223,1749,156,44.166666666666664,405.0
gen2,mod3_pro,martinezrm,grp,27567,4.988718395182646,2434,1668,15.938249400479616,334.0
gen3,mod1_pro,bautistae,nss,7752,5.119840041279669,1833,287,26.54006968641115,340.0
gen2,mod1_pro,suarezja,rsp,4338,5.228907330567082,1161,202,21.252475247524753,424.0
gen2,mod3_pro,ruizv,rsp,17872,5.037488809310654,2493,569,31.133567662565905,402.0
gen2,mod1_pro,acevesj,cva,4356,5.2513774104683195,1005,160,26.3625,351.0
gen2,mod1_pro,diazvm,mdrlp,8278,4.948417492147862,1339,394,20.741116751269036,330.0
gen3,mod1_pro,floresg,grdlr,6158,5.035401104254628,1534,323,18.761609907120743,389.0
gen3,mod1_pro,ruizg,mdrlp,7886,4.849353284301293,1634,325,23.907692307692308,374.0
gen3,mod1_pro,zaldivarg,rsp,4166,5.173307729236678,1131,199,20.065326633165828,378.0
gen2,mod1_pro,zataraincd,mdrlp,4846,4.58027238959967,1012,320,14.678125,341.0
gen3,mod1_pro,deleonle,nss,6544,5.12041564792176,1428,283,22.90459363957597,364.0
gen3,mod1_pro,jimenezlm,grp,4139,4.807924619473303,909,204,20.205882352941178,330.0
gen2,mod1_pro,troncoc,rias,3681,4.9589785384406415,854,93,39.40860215053763,344.0
gen3,mod1_pro,enriquezo,rsp,2211,4.357756671189507,604,55,39.945454545454545,331.0
gen2,mod1_pro,avileslm,grdlr,6253,4.88981288981289,1353,255,24.36862745098039,354.0
gen3,mod3_pro,vegai,rias,14052,5.031596925704526,1905,758,18.306068601583114,347.0
gen3,mod3_pro,mezase,rias,16547,5.100320299752221,2234,957,16.912225705329153,353.0
gen2,mod3_pro,gutierrezs,ado,17885,5.01504053676265,1905,813,21.71217712177122,224.0
gen3,mod1_pro,mezase,rias,3575,4.961398601398601,869,204,17.33823529411765,322.0
gen3,mod1_pro,parrillacp,rsp,5274,5.033560864618885,1099,264,19.71969696969697,275.0
gen2,mod3_pro,lopezg,grp,9418,5.251221066043746,1535,477,19.534591194968552,353.0
gen3,mod1_pro,diaze,nss,7670,5.091395045632334,1613,409,18.29828850855746,371.0
gen2,mod1_pro,whitem,rsp,5454,4.7004033736707,1282,277,19.55956678700361,377.0
gen3,mod3_pro,romerog,mdrlp,8629,5.1739483138254725,1615,395,21.265822784810126,368.0
gen2,mod1_pro,villalbadh,mdrlp,9484,4.969527625474483,1454,352,26.65625,365.0
gen2,mod3_pro,coronafm,mdrlp,9597,5.163488590184433,1772,442,21.368778280542987,360.0
gen2,mod1_pro,olveramt,grdlr,7457,4.753520182378972,1541,304,24.457236842105264,388.0
gen3,mod1_pro,santiagol,rias,5034,5.144616607071911,1355,212,23.4811320754717,394.0
gen3,mod1_pro,rivasle,grdlr,5647,5.191606162564193,1372,326,17.058282208588956,353.0
